model_type,retrainer,exp_type,mean_rank,n_windows
xgboost,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,60.9699,83
xgboost,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,60.9699,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,60.9699,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,60.9699,83
xgboost,perf_drop_0.1_lookback_3,perf,61.3253,83
xgboost,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,61.5241,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,61.7169,83
xgboost,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,62.0181,83
xgboost,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,62.0181,83
xgboost,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,62.0181,83
xgboost,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,62.0181,83
xgboost,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,62.0181,83
xgboost,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,62.0181,83
xgboost,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,62.0181,83
xgboost,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,62.0181,83
xgboost,fixed_12,fixed,62.1988,83
xgboost,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,62.4518,83
xgboost,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,62.4518,83
xgboost,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,62.4518,83
xgboost,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,62.4518,83
xgboost,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,62.4518,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,62.4699,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,62.4699,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,62.5361,83
xgboost,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,62.5361,83
xgboost,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,62.5361,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,62.5361,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,62.5361,83
xgboost,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,62.7048,83
xgboost,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,62.7048,83
xgboost,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,62.9036,83
xgboost,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,64.2651,83
xgboost,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,64.2651,83
xgboost,perf_drop_0.15_lookback_6,perf,64.759,83
xgboost,random,random,66.3675,83
xgboost,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,68.3012,83
xgboost,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,68.3012,83
xgboost,perf_drop_0.2_lookback_3,perf,69.8072,83
xgboost,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,70.512,83
xgboost,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,70.9699,83
xgboost,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,70.9699,83
xgboost,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,70.9699,83
xgboost,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,71.2952,83
xgboost,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,71.2952,83
