model_type,retrainer,exp_type,mean_f1,std_f1,median_f1,mean_dir_accuracy,retrains,signals_fired,cooldowns_hit,windows
lr,fixed_12,fixed,0.4027,0.1203,0.381,0.4737,6,6,14,83
lr,perf_drop_0.15_lookback_4,perf,0.4016,0.1138,0.4023,0.5372,5,5,12,83
lr,perf_drop_0.1_lookback_6,perf,0.4014,0.1139,0.401,0.5239,5,10,12,83
lr,random,random,0.3987,0.1295,0.4074,0.4883,6,6,14,83
lr,perf_drop_0.15_lookback_6,perf,0.3923,0.1203,0.3824,0.485,2,3,6,83
lr,perf_drop_0.2_lookback_4,perf,0.3849,0.118,0.3824,0.5466,2,2,6,83
lr,adwin_delta_0.05,adwin,0.3822,0.114,0.3674,0.5995,0,0,2,83
lr,adwin_delta_0.1,adwin,0.3822,0.114,0.3674,0.5995,0,0,2,83
lr,perf_drop_0.2_lookback_6,perf,0.3822,0.114,0.3674,0.5995,0,0,2,83
lr,static,static,0.3822,0.114,0.3674,0.5995,0,0,2,83
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,0.3798,0.1265,0.3803,0.4483,18,30,36,83
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,0.3798,0.1265,0.3803,0.4483,18,30,36,83
lr,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,0.3777,0.1219,0.3803,0.4371,16,26,32,83
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,0.3777,0.1219,0.3803,0.4371,16,26,32,83
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,0.3767,0.1191,0.3807,0.4288,19,34,38,83
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,0.3737,0.1234,0.3754,0.4302,19,37,38,83
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,0.3721,0.1198,0.3704,0.428,18,31,36,83
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,0.3688,0.1233,0.3685,0.4309,19,37,38,83
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,0.3688,0.1233,0.3685,0.4309,19,37,38,83
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,0.3665,0.13,0.3606,0.4302,19,33,38,83
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,0.3665,0.13,0.3606,0.4302,19,34,38,83
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,0.3665,0.13,0.3606,0.4302,19,34,38,83
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,0.3642,0.1177,0.3619,0.4323,18,36,38,83
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,0.3642,0.1177,0.3619,0.4323,18,36,38,83
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,0.3642,0.1177,0.3619,0.4323,18,36,38,83
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,0.3642,0.1177,0.3619,0.4323,18,36,38,83
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,0.3642,0.1177,0.3619,0.4323,18,36,38,83
lr,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,0.3642,0.1177,0.3619,0.4323,18,36,38,83
lr,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,0.3642,0.1177,0.3619,0.4323,18,36,38,83
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,0.3642,0.1177,0.3619,0.4323,18,36,38,83
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,0.4356,0.1047,0.4327,0.5219,20,38,40,83
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,0.4356,0.1047,0.4327,0.5219,20,38,40,83
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,0.4321,0.1011,0.4287,0.5377,16,26,32,83
rf,perf_drop_0.1_lookback_3,perf,0.4303,0.1065,0.4293,0.5282,11,15,24,83
rf,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,0.4289,0.1085,0.4286,0.5345,19,34,38,83
rf,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,0.4289,0.1085,0.4286,0.5345,19,34,38,83
rf,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,0.4289,0.1085,0.4286,0.5345,19,34,38,83
rf,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,0.4289,0.1085,0.4286,0.5345,19,34,38,83
rf,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,0.4289,0.1085,0.4286,0.5345,19,34,38,83
rf,perf_drop_0.03_lookback_6,perf,0.4275,0.1037,0.4325,0.5295,16,33,33,83
rf,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,0.4273,0.1096,0.424,0.5321,19,37,38,83
rf,perf_drop_0.05_lookback_3,perf,0.4269,0.1077,0.4325,0.5164,16,24,34,83
rf,fixed_3,fixed,0.4265,0.1049,0.425,0.5215,27,27,55,83
rf,fixed_6,fixed,0.4265,0.1036,0.4262,0.534,13,13,28,83
rf,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,0.4251,0.0977,0.4183,0.5212,18,31,36,83
rf,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,0.4251,0.1034,0.4325,0.5208,16,26,32,83
rf,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,0.4251,0.1034,0.4325,0.5208,16,26,32,83
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,0.4251,0.0977,0.4183,0.5212,18,31,36,83
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,0.4251,0.1034,0.4325,0.5208,16,26,32,83
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,0.4251,0.1034,0.4325,0.5208,16,26,32,83
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,0.4243,0.1097,0.4218,0.5219,19,37,40,83
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,0.4243,0.1097,0.4218,0.5219,19,37,40,83
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,0.4243,0.1097,0.4218,0.5219,19,37,40,83
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,0.4243,0.1097,0.4218,0.5219,19,37,40,83
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,0.4243,0.1097,0.4218,0.5219,19,37,40,83
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,0.4243,0.1097,0.4218,0.5219,19,37,40,83
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,0.4243,0.1097,0.4218,0.5219,19,37,40,83
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,0.4243,0.1097,0.4218,0.5219,19,37,40,83
rf,perf_drop_0.03_lookback_3,perf,0.4234,0.0916,0.4269,0.5204,20,37,42,83
rf,perf_drop_0.05_lookback_6,perf,0.4232,0.1052,0.4195,0.5163,13,22,27,83
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,0.4231,0.1055,0.4325,0.518,19,35,38,83
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,0.4231,0.1055,0.4325,0.518,19,35,38,83
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,0.4231,0.1055,0.4325,0.518,19,35,38,83
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,0.4231,0.1055,0.4325,0.518,19,35,38,83
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,0.4231,0.1055,0.4325,0.518,19,35,38,83
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,0.4227,0.098,0.4269,0.5349,15,25,30,83
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,0.4227,0.098,0.4269,0.5349,15,26,30,83
rf,perf_drop_0.03_lookback_4,perf,0.4226,0.1019,0.4374,0.5131,15,33,32,83
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,0.4226,0.1049,0.4255,0.5158,19,37,38,83
rf,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,0.4224,0.1091,0.4218,0.5262,18,36,38,83
rf,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,0.4224,0.1091,0.4218,0.5262,18,36,38,83
rf,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,0.4224,0.1091,0.4218,0.5262,18,36,38,83
rf,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,0.4224,0.1091,0.4218,0.5262,18,36,38,83
rf,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,0.4224,0.1091,0.4218,0.5262,18,36,38,83
rf,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,0.4224,0.1091,0.4218,0.5262,18,36,38,83
rf,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,0.4224,0.1091,0.4218,0.5262,18,36,38,83
rf,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,0.4224,0.1091,0.4218,0.5262,18,36,38,83
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,0.4224,0.1008,0.4218,0.5351,17,29,34,83
rf,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,0.4222,0.0963,0.4212,0.5231,18,30,36,83
rf,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,0.4222,0.0963,0.4212,0.5231,18,30,36,83
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,0.4222,0.0963,0.4212,0.5231,18,30,36,83
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,0.4222,0.0963,0.4212,0.5231,18,30,36,83
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,0.4197,0.1024,0.4183,0.5333,17,29,34,83
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,0.4197,0.1024,0.4183,0.5333,17,29,34,83
rf,perf_drop_0.05_lookback_4,perf,0.4193,0.0918,0.424,0.5164,14,27,30,83
