model_type,retrainer,exp_type,total_retrains,true_positives,false_positives,false_positive_rate,precision
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,15,1,14,0.9333,0.0667
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,15,1,14,0.9333,0.0667
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,15,1,14,0.9333,0.0667
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,17,1,16,0.9412,0.0588
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,17,1,16,0.9412,0.0588
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,15,1,14,0.9333,0.0667
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,17,1,16,0.9412,0.0588
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,17,1,16,0.9412,0.0588
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,17,1,16,0.9412,0.0588
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,17,1,16,0.9412,0.0588
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,15,1,14,0.9333,0.0667
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,15,1,14,0.9333,0.0667
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,16,1,15,0.9375,0.0625
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,18,2,16,0.8889,0.1111
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,19,2,17,0.8947,0.1053
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,19,2,17,0.8947,0.1053
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,18,2,16,0.8889,0.1111
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,19,2,17,0.8947,0.1053
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,19,2,17,0.8947,0.1053
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,18,2,16,0.8889,0.1111
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,19,2,17,0.8947,0.1053
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,19,2,17,0.8947,0.1053
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,19,2,17,0.8947,0.1053
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,19,2,17,0.8947,0.1053
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,19,2,17,0.8947,0.1053
