model_type,exp_type,tau_1,tau_2,lookback,mean_f1,std_f1,mean_dir_accuracy,retrains
xgboost,causal,0.83,0.72,6.0,0.3873,0.1171,0.4288,18
xgboost,causal,0.83,0.75,6.0,0.3873,0.1171,0.4288,18
xgboost,causal,0.83,0.78,6.0,0.3873,0.1171,0.4288,18
xgboost,causal,0.88,0.72,6.0,0.3873,0.1171,0.4288,18
xgboost,causal,0.88,0.75,6.0,0.3873,0.1171,0.4288,18
xgboost,causal,0.88,0.78,6.0,0.3873,0.1171,0.4288,18
xgboost,causal,0.88,0.72,3.0,0.3865,0.1103,0.4298,19
xgboost,causal,0.88,0.72,4.0,0.3865,0.121,0.43,19
xgboost,causal,0.88,0.75,3.0,0.3865,0.1103,0.4298,19
xgboost,causal,0.88,0.75,4.0,0.3865,0.121,0.43,19
xgboost,causal,0.88,0.78,3.0,0.3865,0.1103,0.4298,19
xgboost,spy_msm,0.8,0.72,4.0,0.4324,0.1085,0.5314,16
xgboost,spy_msm,0.8,0.75,4.0,0.4324,0.1085,0.5314,16
xgboost,spy_msm,0.83,0.72,4.0,0.4324,0.1085,0.5314,16
xgboost,spy_msm,0.83,0.75,4.0,0.4324,0.1085,0.5314,16
xgboost,spy_msm,0.83,0.78,4.0,0.4324,0.1085,0.5314,16
xgboost,spy_msm,0.88,0.72,6.0,0.4283,0.1299,0.5226,17
xgboost,spy_msm,0.88,0.75,6.0,0.4283,0.1299,0.5226,17
xgboost,spy_msm,0.88,0.78,6.0,0.4283,0.1299,0.5226,17
xgboost,spy_msm,0.88,0.78,4.0,0.4231,0.1033,0.5233,17
xgboost,spy_msm,0.88,0.78,3.0,0.4224,0.129,0.518,16
xgboost,spy_msm,0.8,0.72,3.0,0.421,0.1114,0.5083,15
xgboost,spy_msm,0.8,0.75,3.0,0.421,0.1114,0.5083,15
xgboost,spy_msm,0.83,0.72,3.0,0.421,0.1114,0.5083,15
xgboost,spy_msm,0.83,0.75,3.0,0.421,0.1114,0.5083,15
xgboost,spy_msm,0.83,0.78,3.0,0.421,0.1114,0.5083,15
xgboost,spy_msm,0.88,0.72,4.0,0.4183,0.1128,0.5156,17
xgboost,spy_msm,0.88,0.75,4.0,0.4183,0.1128,0.5156,17
xgboost,spy_msm,0.8,0.72,6.0,0.4172,0.1138,0.523,16
xgboost,spy_msm,0.8,0.75,6.0,0.4172,0.1138,0.523,16
xgboost,spy_msm,0.83,0.72,6.0,0.4172,0.1138,0.523,16
