model_type,retrainer,exp_type,retrain_rate_calm,retrain_rate_stress,stress_calm_ratio
rf,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,0.2133,0.25,1.1721
rf,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,0.2133,0.25,1.1721
rf,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,0.2133,0.25,1.1721
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,0.2133,0.25,1.1721
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,0.2133,0.25,1.1721
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,0.2133,0.25,1.1721
rf,fixed_3,fixed,0.32,0.375,1.1719
rf,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,0.2267,0.25,1.1028
rf,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,0.2267,0.25,1.1028
rf,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,0.2267,0.25,1.1028
rf,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,0.24,0.25,1.0417
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,0.24,0.25,1.0417
rf,fixed_6,fixed,0.16,0.125,0.7812
rf,perf_drop_0.05_lookback_6,perf,0.16,0.125,0.7812
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,0.1867,0.125,0.6695
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
rf,perf_drop_0.03_lookback_6,perf,0.2,0.125,0.625
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,0.2,0.125,0.625
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,0.2133,0.125,0.586
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,0.2133,0.125,0.586
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,0.2133,0.125,0.586
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,0.2133,0.125,0.586
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,0.2133,0.125,0.586
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,0.2133,0.125,0.586
rf,perf_drop_0.1_lookback_4,perf,0.08,0.0,0.0
rf,perf_drop_0.1_lookback_6,perf,0.0267,0.0,0.0
rf,random,random,0.08,0.0,0.0
rf,adwin_delta_0.01,adwin,0.0,0.0,
rf,adwin_delta_0.05,adwin,0.0,0.0,
rf,adwin_delta_0.1,adwin,0.0,0.0,
rf,perf_drop_0.15_lookback_4,perf,0.0,0.0,
rf,perf_drop_0.15_lookback_6,perf,0.0,0.0,
rf,perf_drop_0.2_lookback_3,perf,0.0,0.0,
rf,perf_drop_0.2_lookback_4,perf,0.0,0.0,
rf,perf_drop_0.2_lookback_6,perf,0.0,0.0,
rf,static,static,0.0,0.0,
xgboost,perf_drop_0.15_lookback_6,perf,0.04,0.125,3.125
xgboost,fixed_9,fixed,0.0933,0.25,2.6795
xgboost,fixed_12,fixed,0.0667,0.125,1.8741
xgboost,perf_drop_0.03_lookback_6,perf,0.1733,0.25,1.4426
xgboost,perf_drop_0.15_lookback_3,perf,0.0933,0.125,1.3398
xgboost,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,0.1867,0.25,1.339
xgboost,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,0.1867,0.25,1.339
xgboost,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,0.1867,0.25,1.339
xgboost,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,0.1867,0.25,1.339
xgboost,perf_drop_0.03_lookback_4,perf,0.1867,0.25,1.339
