model_type,retrainer,exp_type,class,class_name,f1
lr,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,1,neutral,0.4736
lr,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,2,up,0.5283
lr,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,0,down,0.5429
lr,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,1,neutral,0.4749
lr,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,2,up,0.5186
lr,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,0,down,0.5423
lr,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,1,neutral,0.4773
lr,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,2,up,0.5174
lr,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,0,down,0.5365
lr,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,1,neutral,0.4736
lr,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,2,up,0.5283
lr,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,0,down,0.5429
lr,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,1,neutral,0.4749
lr,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,2,up,0.5186
lr,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,0,down,0.5423
lr,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,1,neutral,0.4773
lr,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,2,up,0.5174
lr,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,0,down,0.5365
lr,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,1,neutral,0.4736
lr,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,2,up,0.5283
lr,perf_drop_0.03_lookback_3,perf,0,down,0.5527
lr,perf_drop_0.03_lookback_3,perf,1,neutral,0.4847
lr,perf_drop_0.03_lookback_3,perf,2,up,0.5175
lr,perf_drop_0.03_lookback_4,perf,0,down,0.5475
lr,perf_drop_0.03_lookback_4,perf,1,neutral,0.4865
lr,perf_drop_0.03_lookback_4,perf,2,up,0.5178
lr,perf_drop_0.03_lookback_6,perf,0,down,0.5411
lr,perf_drop_0.03_lookback_6,perf,1,neutral,0.4875
lr,perf_drop_0.03_lookback_6,perf,2,up,0.5232
lr,perf_drop_0.05_lookback_3,perf,0,down,0.5485
lr,perf_drop_0.05_lookback_3,perf,1,neutral,0.4814
lr,perf_drop_0.05_lookback_3,perf,2,up,0.5259
lr,perf_drop_0.05_lookback_4,perf,0,down,0.5393
lr,perf_drop_0.05_lookback_4,perf,1,neutral,0.4878
lr,perf_drop_0.05_lookback_4,perf,2,up,0.5139
lr,perf_drop_0.05_lookback_6,perf,0,down,0.5431
lr,perf_drop_0.05_lookback_6,perf,1,neutral,0.4858
lr,perf_drop_0.05_lookback_6,perf,2,up,0.5217
lr,perf_drop_0.15_lookback_3,perf,0,down,0.5467
lr,perf_drop_0.15_lookback_3,perf,1,neutral,0.4501
lr,perf_drop_0.15_lookback_3,perf,2,up,0.5334
lr,perf_drop_0.15_lookback_4,perf,0,down,0.5284
lr,perf_drop_0.15_lookback_4,perf,1,neutral,0.4088
lr,perf_drop_0.15_lookback_4,perf,2,up,0.5174
lr,perf_drop_0.15_lookback_6,perf,0,down,0.5017
lr,perf_drop_0.15_lookback_6,perf,1,neutral,0.4755
lr,perf_drop_0.15_lookback_6,perf,2,up,0.5066
lr,perf_drop_0.1_lookback_3,perf,0,down,0.5431
lr,perf_drop_0.1_lookback_3,perf,1,neutral,0.4829
lr,perf_drop_0.1_lookback_3,perf,2,up,0.525
lr,perf_drop_0.1_lookback_4,perf,0,down,0.5456
lr,perf_drop_0.1_lookback_4,perf,1,neutral,0.4599
lr,perf_drop_0.1_lookback_4,perf,2,up,0.5257
lr,perf_drop_0.1_lookback_6,perf,0,down,0.5363
lr,perf_drop_0.1_lookback_6,perf,1,neutral,0.4424
lr,perf_drop_0.1_lookback_6,perf,2,up,0.5407
lr,perf_drop_0.2_lookback_3,perf,0,down,0.5306
lr,perf_drop_0.2_lookback_3,perf,1,neutral,0.441
lr,perf_drop_0.2_lookback_3,perf,2,up,0.5505
lr,perf_drop_0.2_lookback_4,perf,0,down,0.51
lr,perf_drop_0.2_lookback_4,perf,1,neutral,0.2674
lr,perf_drop_0.2_lookback_4,perf,2,up,0.519
